priref,Object Number,Object Name,Scientific Name,Description,Collector Name,Collection Place,OS Grid Ref,Stratigraphy Unit,Stratigraphy Type,Image URL,Latitude,Longitude
57715,G.16427,Trace fossil,Keilorites squamosus,"Fossilised remains of Silurian worm burrows Keilorites squamosus. Found at Whitcliffe, Ludlow.",Unkown,Whitcliffe,unknown,Silurian Period; Ludlow Series; Whitcliffe Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16427.jpg,null,null
57741,G.16441,Trace fossil,Keilorites squamosus,"Fragmentary remains of the Silurian trace fossil Keilorites squamosus. Found at Whitcliffe, Ludlow.",unknown,Whitcliffe,unknown,Silurian Period; Ludlow Series; Whitcliffe Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16441.jpg,null,null
70730,G.17092,Brachiopod; Bryozoan; CORAL,unknown,"Fossilised remains of Silurian bryozoan, coral and brachiopods",unknown,Unknown,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17092a.jpg,null,null
70886,G.17160,Bryozoan,unknown,Fossilised remains of Silurian bryozoan found at Bringewood,"Hignett, Miss",Unknown,SO470730,Silurian Period; Upper Bringewood Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17160a.jpg,52.35211742236748,-2.778226927123128
70923,G.17182,Bryozoan,unknown,"Fossilised remains of a Silurian bryozoan found at Church Hil, Leintwardine.","Smith, R.",Church Hill,unknown,Silurian Period; Lower Leintwardine Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17182.jpg,null,null
70955,G.17193,Polyzoan,unknown,Fossilised remains of Silurian polyzoans found in Ludlow,Birmingham University,"Wigmore Road,",unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17193.jpg,null,null
71898,G.17214,Crinoid; Bryozoan,unknown,"Fossilised remains of Silurian Crinoid ossicles and stick bryozoans found at Wenlock Egde, Shropshire.","Davies, Martin",Wenlock Edge,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17214.jpg,null,null
72704,G.17294,Eurypterid,Pterygotus arcuatus,"Fossilised remains of the post-oral plate of the Silurian eurypterid, Pterygotus arcuatus found at Church Hill, Leintwardine.","Smith, R.",Church Hill,unknown,Silurian Period; Higher Lower Leintwardine Beds,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17294.jpg,null,null
73134,G.17343,Ostracod; BIVALVE; Thelodont,Londinnia sp.; Frostiella sp.; Nodibeyrichia,Fossilised remains of Silurian ostracods; right valve double ringed and left valve of londinnia sp.; left valve of frostiella and nodibeyrichia with thelodonts and bivalves. Showing unusual shell preservation.,unknown,"Church Farm, Warwardine",unknown,Silurian Period; Pridoli Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17343.jpg,null,null
73135,G.17344,Eurypterid,Slimonia acuminata,"Telson of a Silurian eurypterid, Slimonia acuminata. Found at Lesmahagow",unknown,Lesmahagow,unknown,Silurian Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.17344.jpg,null,null
